Dataset,Conf Threshold,Conf Method,Tokens per Sec,ROUGE-2
cnn_dm_summarization,0.1,softmax_diff,120.02301437377929,0.004094270523637533
cnn_dm_summarization,0.1,softmax_max,118.84250289916992,0.004823516122996807
cnn_dm_summarization,0.1,state,119.54233978271485,0.0017987835453823209
cnn_dm_summarization,0.3,softmax_diff,107.16243148803711,0.003605225356295705
cnn_dm_summarization,0.3,softmax_max,118.58337326049805,0.004103457555174828
cnn_dm_summarization,0.3,state,119.24522918701172,0.0038920056540519
cnn_dm_summarization,0.5,softmax_diff,112.69903656005859,0.003539848839864135
cnn_dm_summarization,0.5,softmax_max,118.36218627929688,0.005058630835264921
cnn_dm_summarization,0.5,state,117.0766390991211,0.00410392414778471
cnn_dm_summarization,0.7,softmax_diff,116.8941178894043,0.0031528358813375235
cnn_dm_summarization,0.7,softmax_max,117.08554214477539,0.004703691229224205
cnn_dm_summarization,0.7,state,117.65268508911133,0.0023515906650573015
cnn_dm_summarization,0.9,softmax_diff,119.62397232055665,0.004766332451254129
cnn_dm_summarization,0.9,softmax_max,117.16649673461914,0.0029098622035235167
cnn_dm_summarization,0.9,state,116.59318572998046,0.002468506805598736
human_eval,0.1,softmax_diff,134.88051147460936,0.00047058824566192925
human_eval,0.1,softmax_max,134.33899963378906,0.00047058824566192925
human_eval,0.1,state,135.03893218994142,0.00047058824566192925
human_eval,0.3,softmax_diff,135.29969177246093,0.00047058824566192925
human_eval,0.3,softmax_max,133.27469757080078,0.00047058824566192925
human_eval,0.3,state,133.83808181762694,0.00047058824566192925
human_eval,0.5,softmax_diff,134.40877380371094,0.00047058824566192925
human_eval,0.5,softmax_max,136.6398667907715,0.00047058824566192925
human_eval,0.5,state,136.3116664123535,0.00047058824566192925
human_eval,0.7,softmax_diff,136.07006149291993,0.00047058824566192925
human_eval,0.7,softmax_max,136.3296630859375,0.00047058824566192925
human_eval,0.7,state,136.35323440551758,0.00047058824566192925
human_eval,0.9,softmax_diff,138.04460708618163,0.00047058824566192925
human_eval,0.9,softmax_max,136.42497467041017,0.00047058824566192925
human_eval,0.9,state,136.85983993530274,0.00047058824566192925
xsum_summarization,0.1,softmax_diff,117.80520919799805,0.002194154541939497
xsum_summarization,0.1,softmax_max,117.94263122558594,0.002194154541939497
xsum_summarization,0.1,state,116.80857971191406,0.002194154541939497
xsum_summarization,0.3,softmax_diff,116.69236755371094,0.002194154541939497
xsum_summarization,0.3,softmax_max,116.81046310424804,0.002194154541939497
xsum_summarization,0.3,state,115.72285736083984,0.002194154541939497
xsum_summarization,0.5,softmax_diff,115.35388244628906,0.002194154541939497
xsum_summarization,0.5,softmax_max,114.39149459838868,0.002194154541939497
xsum_summarization,0.5,state,117.03074081420898,0.002194154541939497
xsum_summarization,0.7,softmax_diff,119.03866043090821,0.002194154541939497
xsum_summarization,0.7,softmax_max,118.61955230712891,0.002194154541939497
xsum_summarization,0.7,state,117.50673629760742,0.002194154541939497
xsum_summarization,0.9,softmax_diff,118.55166366577149,0.002194154541939497
xsum_summarization,0.9,softmax_max,118.30036361694336,0.002194154541939497
xsum_summarization,0.9,state,118.11984237670899,0.002194154541939497
